id;magasin;produit;prix;date
1;back-end Vermont;card calculating;59840;Administrator incubate Investor
2;Principal;Auto Loan Account systems Progressive;74057;full-range Refined Czech Republic
3;Station Bedfordshire;cohesive Corporate;95500;Brand
4;Chief exploit;Product Car;69648;Missouri out-of-the-box
5;Arkansas Frozen;invoice payment;46664;Quality Vietnam input
6;Mauritius;end-to-end mindshare deposit;57267;Nebraska Berkshire violet
7;service-desk Licensed Concrete Chicken;Plastic strategy Micronesia;92521;Licensed
8;Sudanese Pound;Practical Rubber Towels Quality;25927;Metal Berkshire
9;Forward Awesome;compress Wooden;78850;Outdoors index Associate
10;Borders synthesizing;Hawaii;75713;monetize
